OBJECTID,SITE_NAME,PUBLIC_ACC,ACREAGE,COUNTY,ADDRESS,Lat,Long
91,Indian River Lagoon Preserve State Park,Open-No Fee Required,564.0112848,Brevard,"Old Florida Trail Melbourne Beach, Fl 32951",27.93688,-80.49816
92,Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,Open-Fee Required,33.04108297,Manatee,"3708 Patten Avenue Ellenton, Fl 34222",27.5223,-82.52572
93,Jonathan Dickinson State Park,Open-Fee Required,10441.68093,"Martin,Palm Beach","16450 Se Federal Hwy Hobe Sound, Fl 33455",26.99561,-80.14494
94,Devil's Millhopper Geological State Park,Open-Fee Required,67.23843329,Alachua,"4732 Millhopper Rd. Gainesville, Fl 32653",29.70796,-82.39639
95,Highlands Hammock State Park,Open-Fee Required,9237.747386,"Highlands, Hardee","5931 Hammock Rd Sebring, Fl 33872",27.47191,-81.53934
96,Little Manatee River State Park,Open-Fee Required,2432.613163,Hillsborough,"215 Lightfoot Rd Wimauma, Fl 33598",27.66311,-82.37375
97,Hontoon Island State Park,Open-No Fee Required,1653.821531,"Volusia, Lake","2309 River Ridge Rd Deland, Fl 32720",28.97418,-81.35708
98,River Rise Preserve State Park,Open-Fee Required,3827.195795,"Alachua, Columbia","373 Southwest Us Hwy 27 High Springs, Fl 32643",29.95638,-82.92561
99,Paynes Creek Historic State Park,Open-Fee Required,398.5714748,Hardee,"888 Lake Branch Rd Bowling Green, Fl 33834",27.62339,-81.80906
100,Big Lagoon State Park,Open-Fee Required,706.7647301,Escambia,"12301 Gulf Beach Hwy Pensacola, Fl 32507",30.31078,-87.41671
101,Avalon State Park,Open-No Fee Required,657.5799118,St. Lucie,"5400 A1A Fort Pierce, Fl 34949",26.20264,-80.09435
102,Allen David Broussard Catfish Creek Preserve State Park,Open-No Fee Required,8329.215449,Polk,"4335 Firetower Rd. Haines City, Fl 33844",27.98404,-81.49691
103,Bald Point State Park,Open-Fee Required,4875.884194,Franklin,"146 Box Cut Rd Alligator Point, Fl 32346",29.90876,-84.34321
104,Lovers Key State Park,Open-Fee Required,1442.444839,Lee,"8700 Estero Blvd Ft Myers Beach, Fl 33931",26.43695,-81.92165
105,Fort Pierce Inlet State Park,Open-Fee Required,713.5988776,St. Lucie,"905 Shorewinds Dr Ft Pierce, Fl 34949",27.48536,-80.30348
106,Madison Blue Spring State Park,Open-Fee Required,49.72627281,Madison,"8300 Ne State Rd. 6 Lee, Fl 32059",30.47944,-83.24591
107,Wingate Creek State Park,Open-Prior Arrangement Required,614.2233508,Manatee,"20007 Sr 64 Bradenton, Fl 34202",27.477,-82.34721
108,South Fork State Park,Open-Prior Arrangement Required,1129.442267,Manatee,"20007 Sr 64 Bradenton, Fl 34202",27.477,-82.34721
109,Atlantic Ridge Preserve State Park,Open-Prior Arrangement Required,4886.047599,Martin,"8120 Se Paulson Ave Stuart, Fl 34997",27.10309,-80.24136
110,Perdido Key State Park,Open-Fee Required,302.9019863,Escambia,"15301 Perdido Key Dr. Pensacola, Fl 32507",30.29289,-87.46383
111,Paynes Prairie Preserve State Park,Open-Fee Required,21561.6482,Alachua,"100 Savannah Blvd Micanopy, Fl 32667",29.51983,-82.29496
112,Gainesville-to-Hawthorne State Trail,Open-Fee Required,140.2017158,Alachua,"3400 Se 15 Street Gainesville,Fl 32641",29.62085,-82.30647
113,Wekiwa Springs State Park,Open-Fee Required,9341.063364,"Seminole, Orange, Lake","1800 Wekiwa Cir Apopka, Fl 32712",28.71127,-81.46227
114,John D. MacArthur Beach State Park,Open-Fee Required,436.3945528,Palm Beach,"10900 Jack Nichlaus Drive North Palm Beach, Fl 33408",26.82641,-80.04343
115,Suwannee River Wilderness Trail,Open-Fee Required,74.03878232,"Dixie, Hamilton, Lafayette, Suwannee","4298 Nw County Road 292 Mayo, Fl 32066",30.15297,-83.24481
116,Charlotte Harbor Preserve State Park,Open-No Fee Required,45444.68242,"Lee, Charlotte","12301 Burnt Store Rd. Punta Gorda, Fl 33955",26.8513,-82.02213
117,Econfina River State Park,Open-Fee Required,4585.322037,Taylor,"4741 Econfina River Rd. Lamont, Fl 32336",30.05999,-83.90644
118,Fort Clinch State Park,Open-Fee Required,2178.2033,Nassau,"2601 Atlantic Ave Fernandina Beach, Fl 32034",30.66807,-81.43521
119,Lake Louisa State Park,Open-Fee Required,4608.07406,Lake,"7305 Us Hwy 27 Clermont, Fl 34714",28.45489,-81.72709
120,Suwannee River State Park,Open-Fee Required,1932.768318,"Hamilton, Madison, Suwannee","3631 201St Path Live Oak, Fl 32060",30.38068,-83.16608
121,Yulee Sugar Mill Ruins Historic State Park,Open-No Fee Required,4.60114182,Citrus,"10465 W Yulee Dr. Homosassa, Fl 34448",28.78483,-82.6075
122,Yellow Bluff Fort Historic State Park,Open-No Fee Required,1.73597065,Duval,"9400 New Berlin Rd. Jacksonville, Fl 32226",30.40132,-81.56046
123,Washington Oaks Gardens State Park,Open-Fee Required,430.1594979,Flagler,"6400 N Oceanshore Blvd Palm Coast, Fl 32137",29.63312,-81.20748
124,San Marcos de Apalache Historic State Park,Open-Fee Required,15.35049759,Wakulla,"148 Old Fort Rd. St. Marks, Fl 32355",30.15202,-84.21078
125,Dr. Julian G. Bruce St. George Island State Park,Open-Fee Required,2023.570903,Franklin,"1900 E Gulf Beach Dr St George Island, Fl 32328",29.7494,-84.71024
126,Crystal River Preserve State Park,Open-No Fee Required,27596.8391,Citrus,"3266 N Sailboat Avenue Crystal River, Fl 34428",28.90944,-82.63595
127,Ichetucknee Trace,Open-Prior Arrangement Required,663.5522602,Columbia,"12087 Sw Us Hwy 27 Ft White, Fl 32038",29.95149,-82.77828
128,St. Marks River Preserve State Park,Open-No Fee Required,2590.011292,"Leon, Jefferson","11950 Tram Rd. Tallahassee, Fl 32311",30.37277,-84.08259
129,Fred Gannon Rocky Bayou State Park,Open-Fee Required,346.6504702,Okaloosa,"4281 State Rd. 20 Niceville, Fl 32578",30.49793,-86.43175
130,George Crady Bridge Fishing Pier State Park,Open-Fee Required,110.4971102,"Nassau, Duval","9549 1St Coast Hwy, Fernandina Beach, Fl 32034",30.55716,-81.44995
131,Bill Baggs Cape Florida State Park,Open-Fee Required,506.3679317,Dade,"1200 S Crandon Blvd Key Biscayne, Fl 33149",25.67534,-80.16145
132,Madira Bickel Mound State Archaeological Site,Open-No Fee Required,9.18526791,Manatee,"955 Bayshore Dr. Terra Ceia, Fl 34250",27.56499,-82.59317
133,Tallahassee-St. Marks Historic Railroad State Trail,Open-No Fee Required,150.7980529,"Leon, Wakulla","1358 Old Woodville Rd. Crawfordville, Fl 32327",30.24493,-84.23476
134,Alfred B. Maclay Gardens State Park,Open-Fee Required,1170.192354,Leon,"3540 Thomasville Rd Tallahassee, Fl 32309",30.51414,-84.24749
135,Anastasia State Park,Open-Fee Required,1593.16596,St. Johns,"300 Anastasia Park Rd. St Augustine, Fl 32080",29.87727,-81.28026
136,Big Shoals State Park,Open-No Fee Required,1681.008255,"Hamilton, Columbia","11330 Southeast County Rd 135 White Springs, Fl 32096",30.3453,-82.73516
137,Anclote Key Preserve State Park,Open-Fee Required,12209.61517,"Pinellas, Pasco","Anclote Key Tarpon Springs, Fl 34689",28.19029,-82.75271
138,Addison Blockhouse Historic State Park,Open-No Fee Required,147.9340805,Volusia,"2099 N Beach Street Ormond Beach, Fl 32174",29.341021,-81.084793
139,Fort Zachary Taylor Historic State Park,Open-Fee Required,55.73610786,Monroe,"601 Howard England Way Key West, Fl 33040",24.54684,-81.80824
140,Florida Keys Overseas Heritage Trail,Open-No Fee Required,757.8513667,Monroe,"3 La Croix Court Key Largo, Fl 33037",25.19447,-80.3526
141,Alafia River State Park,Open-Fee Required,7717.809873,Hillsborough,"14326 South County Rd 39 Lithia, Fl 33547",27.784769,-82.14135
142,Florida Caverns State Park,Open-Fee Required,1449.596178,Jackson,"3345 Caverns Rd Marianna, Fl 32446",30.80837,-85.21238
143,Ruth B. Kirby Gilchrist Blue Springs State Park,Open-Fee Required,402.4170276,Gilchrist,"7450 Ne 60Th St. High Springs, Fl 32643",29.82949,-82.68394
144,Bahia Honda State Park,Open-Fee Required,490.5920261,Monroe,"36850 Overseas Hwy Big Pine Key, Fl 33043",24.65947,-81.27507
145,Grayton Beach State Park,Open-Fee Required,2186.596391,Walton,"357 Main Park Rd Santa Rosa Beach, Fl 32459",30.3258,-86.15467
146,Sebastian Inlet State Park,Open-Fee Required,972.4038509,"Brevard, Indian River","9700 S A1A Melbourne Bch, Fl 32951",27.86319,-80.45152
147,Natural Bridge Battlefield Historic State Park,Open-No Fee Required,2121.369167,Leon,"7502 Natural Bridge Rd. Tallahassee, 32309",30.28147,-84.15041
148,Three Rivers State Park,Open-Fee Required,668.0245565,Jackson,"7908 Three Rivers Park Rd Sneads, Fl 32460",30.739,-84.93589
149,Estero Bay Preserve State Park,Open-No Fee Required,11382.81469,Lee,"3800 Corkscrew Road Estero, Fl 33928",26.433,-81.81537
150,Marjorie Harris Carr Cross Florida Greenways State Recreation and Conservation Area,Open-No Fee Required,71114.66526,"Citrus, Levy, Marion, Putnam","8282 S.E. Highway 314 Ocala, Fl 34470",29.18481,-82.01655
151,Honeymoon Island State Park,Open-Fee Required,2824.515179,Pinellas,"#1 Causeway Blvd Dunedin, Fl 34698",28.05965,-82.81215
152,Caladesi Island State Park,Open-Fee Required,2420.038721,Pinellas,"Caladesi Island State Park Dunedin, Fl 34698",28.06101,-82.8251
153,San Felasco Hammock Preserve State Park,Open-Fee Required,7353.39903,Alachua,"12720 Nw 109 Lane Alachua, Fl 32615",29.7511,-82.47839
154,Skyway Fishing Pier State Park,Open-Fee Required,16.46060391,"Pinellas, Hillsborough, Manatee","Skyway Fishing Pier State Park Interstate 275, St. Petersburg, Fl",27.87867,-82.65894
155,Palatka-to-St. Augustine State Trail,Open-No Fee Required,56.19451005,St. Johns,"Palatka-To-St. Augustine State Trail State Rd. 207 Armstrong, Fl 32033",29.87833,-81.32865
156,O'Leno State Park,Open-Fee Required,2372.405195,"Alachua, Columbia","410 Se O'Leno Park Road High Springs, Fl 32643",29.91524,-82.58105
157,Lake Talquin State Park,Open-No Fee Required,425.7645848,Leon,"14850 Jack Vause Landing Rd. Tallahassee, Fl 32310",30.43656,-84.53648
158,Anderson's Landing (Managed by Manatee Springs State Park),Open-Fee Required,2.67846043,Dixie,"23103 Se 349 Hwy, Suwannee, Fl 32692",29.95674,-82.92156
159,Marjorie Kinnan Rawlings Historic State Park,Open-Fee Required,124.3105564,Alachua,"18700 South Cr 325 Hawthorne, Fl 32640",29.48146,-82.16147
160,Savannas Preserve State Park,Open-Fee Required,6994.304017,"St. Lucie, Martin","9551 Gumbo Limbo Ln Jensen Beach, Fl 34957",27.29035,-80.25325
161,Topsail Hill Preserve State Park,Open-Fee Required,1638.50141,Walton,"7525 W Scenic Hwy 30A Santa Rosa  Beach, Fl 32459",30.36932,-86.27148
163,Waccasassa Bay Preserve State Park,Open-No Fee Required,34387.61453,Levy,"Waccasassa Bay Preserve State Park, Inglis, Fl",30.36999,-86.27299
164,Amelia Island State Park,Open-Fee Required,235.6824633,Nassau,"9549 1St Coast Hwy, Fernandina Beach, Fl 32034",30.55716,-81.44995
165,Little Talbot Island State Park,Open-Fee Required,1531.382944,Duval,"12157 Heckscher Dr Jacksonville, Fl 32226",30.46024,-81.42245
166,Big Talbot Island State Park,Open-Fee Required,1679.82453,Duval,"15500 Bucaneer Trail, Jacksonville, Fl 32226",29.4907,-81.54727
167,Delnor-Wiggins Pass State Park,Open-Fee Required,199.7325465,Collier,"11135 Gulf Shore Dr Naples, Fl 34108",26.27223,-81.82597
168,Egmont Key State Park,Open-No Fee Required,294.3100917,Hillsborough,"Egmont Key State Park St. Petersburg, Fl 33715",27.61348,-82.73836
169,Weeki Wachee Springs State Park,Open-Fee Required,927.2823604,Hernando,"6131 Commercial Way Spring Hill, Fl 34606",28.4944,-82.59586
170,Rainbow Springs State Park,Open-Fee Required,1476.989045,Marion,"19158 Sw 81St Place Rd Dunnellon, Fl 34432",29.10339,-82.43913
171,Dagny Johnson Key Largo Hammock Botanical State Park,Open-Fee Required,2592.887771,Monroe,"County Rd. 905 & Mile Marker 106 Key Largo, Fl 33037",25.17272,-80.37278
172,John Pennekamp Coral Reef State Park,Open-Fee Required,63914.76871,Monroe,"Key Largo, Fl 33037 Po Box 487",25.14436,-80.39684
173,Blackwater Heritage State Trail,Open-No Fee Required,308.449028,Santa Rosa,"5533 Alabama Street Milton, Fl 32564",30.63584,-87.0397
174,Silver Springs State Park,Open-Fee Required,4739.581218,Marion,"1425 Ne 58Th Ave Ocala, Fl 34470",29.20105,-82.05031
175,Price's Scrub State Park,Open-No Fee Required,962.3108691,Marion,"17930 Nw Hwy 320, Micanopy, Fl 32667",29.45775,-82.31883
176,St. Andrews State Park,Open-Fee Required,1167.082236,Bay,"4607 State Park Lane Panama City, Fl 32408",30.21505,-85.59139
177,Cayo Costa State Park,Open-Fee Required,2644.123442,Lee,"Cayo Costa State Park Captiva, Fl 33924",26.686,-82.24582
