title,address,phone,lat,lng,icon,contentString,category 
Fort Pierce,"3218�US�Hwy�1, Fort�Pierce, FL 34982",(772) 577-7762,27.40805,27.40805,,,dispensaries
Fort Walton Beach,"109 Racetrack Rd NE Ste F, Fort Walton Beach, FL 32547",(850) 200-0828,30.44903,30.44903,,,dispensaries
Gainesville,"318 NW 13th St, Gainesville, FL 32601",(352) 415-1824,29.65461,29.65461,,,dispensaries
Hallandale Beach,"308 N Federal Hwy, Hallandale Beach, FL 33009",(561) 440-2360,25.98961,25.98961,,,dispensaries
Holly Hill,"1027 N Nova Rd Ste 105, Holly Hill, FL 32117",(386) 281-3296,29.22628,29.22628,,,dispensaries
Jacksonville,"4332 University Blvd S, Jacksonville, FL 32216",(904) 694-2174,30.27851,30.27851,,,dispensaries
Jensen Beach,"3631 NW Federal Hwy, Jensen Beach, FL 34957",(772) 934-9575,27.24831,27.24831,,,dispensaries
Key West,"130 Duval St, Key West, FL 33040",(786) 625-7732,24.55905,24.55905,,,dispensaries
Kissimmee,"4967 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",(407) 693-0490,28.3337,28.3337,,,dispensaries
Lady Lake,"929 US-441 Hwy Ste 202, Lady Lake, FL 32159",(833) 880-5420,28.93525,28.93525,,,dispensaries
Lake Worth,"1125 N Dixie Hwy Ste C, Lake Worth, FL 33460",(561) 612-4455,26.62952,26.62952,,,dispensaries
Lakeland,"3145�US�Hwy�98�N, Lakeland, FL 33805",(863) 213-1037,28.0816,28.0816,,,dispensaries
Largo,"10761 Ulmerton Rd, Largo, FL 33778",(850) 391-5455,27.89505,27.89505,,,dispensaries
Longwood,"415 W SR 434, Longwood, FL 32750",(407) 357-0805,28.69791,28.69791,,,dispensaries
Lutz,"1408 N Dale Mabry Hwy, Lutz, FL 33548",(813) 803-8188,28.16373,28.16373,,,dispensaries
Melbourne,"21 Suntree Pl, Melbourne, FL 32803",(321) 294-4465,28.22793,28.22793,,,dispensaries
Merritt Island,"150�E�Merritt�Island�Cswy, Merritt�Island, FL 32952",(321) 305-6173,28.35742,28.35742,,,dispensaries
Miami,"9002 S Dadeland Blvd, Miami, FL 33156",(786) 577-3976,25.68655,25.68655,,,dispensaries
Miami Beach,"1523�Alton�Rd�Ste�9, Miami Beach, FL 33139",(850) 391-5455,25.78796,25.78796,,,dispensaries
Miami Gardens,"18350 NW 47th Ave, Miami Gardens, FL 33055",(786) 632-1516,25.94068,25.94068,,,dispensaries
New Port Richey,"5138 Deer Park Dr, New Port Richey, FL 34653",(833) 735-8368,28.23461,28.23461,,,dispensaries
North Miami Beach,"16685�NW�2nd�Ave, North�Miami�Beach, FL 33169",(786) 605-0830,25.92977,25.92977,,,dispensaries
North Palm Beach,"11575�US�Hwy�1, North�Palm�Beach, FL 33408",391-5455,26.80375,26.80375,,,dispensaries
North Port,"7050 Sumter Crossing Dr, North Port, FL 34287",(941) 200-6098,27.033751,27.033751,,,dispensaries
Ocala,"1839�SW�College�Rd, Ocala, FL 34471",(352) 619-2540,27.033751,27.033751,,,dispensaries
Orange Park,"495 Blanding Blvd, Orange Park, FL 32073",(904) 541-8805,27.033751,27.033751,,,dispensaries
Orlando,"10615 E Colonial Drive, Orlando, FL 32803",407) 843-3445,27.033751,27.033751,,,dispensaries
Ormond Beach,"290 Clyde Morris Blvd Ste B2, Ormond Beach, FL 32174",(833) 880-5420,29.27143,29.27143,,,dispensaries
Oviedo,"4301 Alafaya Trl, Oviedo, FL 32765",(407) 449-2230,28.61229,28.61229,,,dispensaries
Palm Bay,"1420�Palm�Bay�Rd�NE, Palm Bay, FL 32905",(321) 373-0033,28.03463,28.03463,,,dispensaries
Palm Coast,"100 Flagler Plaza Dr, Palm Coast, FL 32137",(850) 391-5455,29.47543,29.47543,,,dispensaries
Palm Harbor,"35388 US Hwy 19 N, Palm Harbor, FL 34684",(727) 288-9922,28.09309,28.09309,,,dispensaries
Panama City,"3611 W US Hwy 98, Panama City, FL 32401",(833) 735-8368,30.1805,30.1805,,,dispensaries
Pensacola,"7817 N Davis Hwy, Pensacola, FL 32514",(850) 505-3160,30.51904,30.51904,,,dispensaries
Pinellas Park,"6999 US Hwy 19 N, Pinellas Park, FL 33781",(727) 275-1933,27.83562,27.83562,,,dispensaries
Port Charlotte,"1994 Kings Hwy, Port Charlotte, FL 33980",(941) 628-7031,26.98626,26.98626,,,dispensaries
Port Orange,"3665�S�Clyde�Morris�Blvd, Port Orange, FL 32129",(850) 391-5455,29.14911,29.14911,,,dispensaries
Port St. Lucie,"10941 US Hwy 1, Port St. Lucie, FL 34952",(772) 249-4199,27.26463,27.26463,,,dispensaries
Sanford,"610 Lake Minnie Dr, Sanford, FL 32773",(407) 531-8588,28.75114,28.75114,,,dispensaries
Sarasota,"6979 S Tamiami Trl, Sarasota, FL 34231",(941) 500-3128,27.25518,27.25518,,,dispensaries
Sebastian,"1701 US 1 Ste 3-5, Sebastian, FL 32958",(833) 880-5420,27.82661,27.82661,,,dispensaries
Spring Hill,"10520 Spring Hill Dr, Spring Hill, FL 34608",(352) 355-4322,28.46011,28.46011,,,dispensaries
St. Augustine,"160 King St, St. Augustine, FL 32084",(904) 830-0011,29.89141,29.89141,,,dispensaries
St. Petersburg,"3811�Tyrone�Blvd, St. Petersburg, FL 33709",(727) 369-9019,27.80671,27.80671,,,dispensaries
Stuart,"4203 SE Federal Hwy Ste 103, Stuart, FL 34997",(772) 678-3958,27.15403,27.15403,,,dispensaries
Summerfield,"16810 US-441 Ste 501, Summerfield, FL 34491",(352) 307-2177,28.97807,28.97807,,,dispensaries
Tallahassee,"1345�Thomasville�Rd, Tallahassee, FL 32303",(850) 848-4768,30.45783,30.45783,,,dispensaries
Tampa,"6421�N�Florida�Ave, Tampa, FL 33604",(813) 497-2028,28.00554,28.00554,,,dispensaries
The Villages,"13940 US-441 Ste 601, The Villages, FL 32159",(352) 240-3805,28.94895,28.94895,,,dispensaries
Titusville,"200 S Washington Ave, Titusville, FL 32796",(321) 567-1212,28.61331,28.61331,,,dispensaries
Venice,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,27.09951,,,dispensaries
Vero Beach,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,27.09951,,,dispensaries
Wellington,"1045 S State Rd 7 Ste 200, Wellington, FL 33414",(833) 880-5420,26.66301,26.66301,,,dispensaries
Wesley Chapel,"27437 Wesley Chapel Blvd, Wesley Chapel, FL 33544",(813) 734-8936,28.23868,28.23868,,,dispensaries
West Palm Beach,"237 Okeechobee Blvd, West Palm Beach, FL 33409",(561) 675-0890,26.70547,26.70547,,,dispensaries
Winter Haven,"285�1st�St, Winter Haven, FL 33880",(863) 656-5777,28.01881,28.01881,,,dispensaries
