title,address,phone,lat,lng,icon,contentString,category 
Fort Myers,"4480 Fowler St, Fort Myers, FL 33901",(239) 244-9629,26.59825,-81.86221,,,dispensaries
Fort Pierce,"3218�US�Hwy�1, Fort�Pierce, FL 34982",(772) 577-7762,27.40805,-80.32539,,,dispensaries
Fort Walton Beach,"109 Racetrack Rd NE Ste F, Fort Walton Beach, FL 32547",(850) 200-0828,30.44903,-86.6143,,,dispensaries
Gainesville,"318 NW 13th St, Gainesville, FL 32601",(352) 415-1824,29.65461,-82.33952,,,dispensaries
Hallandale Beach,"308 N Federal Hwy, Hallandale Beach, FL 33009",(561) 440-2360,25.98961,-80.1422,,,dispensaries
Holly Hill,"1027 N Nova Rd Ste 105, Holly Hill, FL 32117",(386) 281-3296,29.22628,-81.04989,,,dispensaries
Jacksonville,"4332 University Blvd S, Jacksonville, FL 32216",(904) 694-2174,30.27851,-81.60335,,,dispensaries
Jensen Beach,"3631 NW Federal Hwy, Jensen Beach, FL 34957",(772) 934-9575,27.24831,-80.2718,,,dispensaries
Key West,"130 Duval St, Key West, FL 33040",(786) 625-7732,24.55905,-81.80562,,,dispensaries
Kissimmee,"4967 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",(407) 693-0490,28.3337,-81.48111,,,dispensaries
Lady Lake,"929 US-441 Hwy Ste 202, Lady Lake, FL 32159",(833) 880-5420,28.93525,-81.93779,,,dispensaries
Lake Worth,"1125 N Dixie Hwy Ste C, Lake Worth, FL 33460",(561) 612-4455,26.62952,-80.05718,,,dispensaries
Lakeland,"3145�US�Hwy�98�N, Lakeland, FL 33805",(863) 213-1037,28.0816,-81.96482,,,dispensaries
Largo,"10761 Ulmerton Rd, Largo, FL 33778",(850) 391-5455,27.89505,-82.788292,,,dispensaries
Longwood,"415 W SR 434, Longwood, FL 32750",(407) 357-0805,28.69791,-81.35084,,,dispensaries
Lutz,"1408 N Dale Mabry Hwy, Lutz, FL 33548",(813) 803-8188,28.16373,-82.4793,,,dispensaries
Melbourne,"21 Suntree Pl, Melbourne, FL 32803",(321) 294-4465,28.22793,-80.67951,,,dispensaries
Merritt Island,"150�E�Merritt�Island�Cswy, Merritt�Island, FL 32952",(321) 305-6173,28.35742,-80.69726,,,dispensaries
Miami,"9002 S Dadeland Blvd, Miami, FL 33156",(786) 577-3976,25.68655,-80.3134,,,dispensaries
Miami Beach,"1523�Alton�Rd�Ste�9, Miami Beach, FL 33139",(850) 391-5455,25.78796,-80.14072,,,dispensaries
Miami Gardens,"18350 NW 47th Ave, Miami Gardens, FL 33055",(786) 632-1516,25.94068,-80.27788,,,dispensaries
New Port Richey,"5138 Deer Park Dr, New Port Richey, FL 34653",(833) 735-8368,28.23461,-82.6678,,,dispensaries
North Miami Beach,"16685�NW�2nd�Ave, North�Miami�Beach, FL 33169",(786) 605-0830,25.92977,-80.20445,,,dispensaries
North Palm Beach,"11575�US�Hwy�1, North�Palm�Beach, FL 33408",391-5455,26.80375,-80.05541,,,dispensaries
North Port,"7050 Sumter Crossing Dr, North Port, FL 34287",(941) 200-6098,27.033751,-82.21212,,,dispensaries
Ocala,"1839�SW�College�Rd, Ocala, FL 34471",(352) 619-2540,27.033751,-82.21212,,,dispensaries
Orange Park,"495 Blanding Blvd, Orange Park, FL 32073",(904) 541-8805,27.033751,-82.21212,,,dispensaries
Orlando,"10615 E Colonial Drive, Orlando, FL 32803",407) 843-3445,27.033751,-82.21212,,,dispensaries
Ormond Beach,"290 Clyde Morris Blvd Ste B2, Ormond Beach, FL 32174",(833) 880-5420,29.27143,-81.09715,,,dispensaries
Oviedo,"4301 Alafaya Trl, Oviedo, FL 32765",(407) 449-2230,28.61229,-81.20828,,,dispensaries
Palm Bay,"1420�Palm�Bay�Rd�NE, Palm Bay, FL 32905",(321) 373-0033,28.03463,-80.63034,,,dispensaries
Palm Coast,"100 Flagler Plaza Dr, Palm Coast, FL 32137",(850) 391-5455,29.47543,-81.17943,,,dispensaries
Palm Harbor,"35388 US Hwy 19 N, Palm Harbor, FL 34684",(727) 288-9922,28.09309,-82.73974,,,dispensaries
Panama City,"3611 W US Hwy 98, Panama City, FL 32401",(833) 735-8368,30.1805,-85.70845,,,dispensaries
Pensacola,"7817 N Davis Hwy, Pensacola, FL 32514",(850) 505-3160,30.51904,-87.21404,,,dispensaries
Pinellas Park,"6999 US Hwy 19 N, Pinellas Park, FL 33781",(727) 275-1933,27.83562,-82.6812,,,dispensaries
Port Charlotte,"1994 Kings Hwy, Port Charlotte, FL 33980",(941) 628-7031,26.98626,-82.06175,,,dispensaries
Port Orange,"3665�S�Clyde�Morris�Blvd, Port Orange, FL 32129",(850) 391-5455,29.14911,-81.0343,,,dispensaries
Port St. Lucie,"10941 US Hwy 1, Port St. Lucie, FL 34952",(772) 249-4199,27.26463,-80.28536,,,dispensaries
Sanford,"610 Lake Minnie Dr, Sanford, FL 32773",(407) 531-8588,28.75114,-81.29082,,,dispensaries
Sarasota,"6979 S Tamiami Trl, Sarasota, FL 34231",(941) 500-3128,27.25518,-82.51685,,,dispensaries
Sebastian,"1701 US 1 Ste 3-5, Sebastian, FL 32958",(833) 880-5420,27.82661,-80.47728,,,dispensaries
Spring Hill,"10520 Spring Hill Dr, Spring Hill, FL 34608",(352) 355-4322,28.46011,-82.54403,,,dispensaries
St. Augustine,"160 King St, St. Augustine, FL 32084",(904) 830-0011,29.89141,-81.32361,,,dispensaries
St. Petersburg,"3811�Tyrone�Blvd, St. Petersburg, FL 33709",(727) 369-9019,27.80671,-82.74949,,,dispensaries
Stuart,"4203 SE Federal Hwy Ste 103, Stuart, FL 34997",(772) 678-3958,27.15403,-80.21829,,,dispensaries
Summerfield,"16810 US-441 Ste 501, Summerfield, FL 34491",(352) 307-2177,28.97807,-81.98377,,,dispensaries
Tallahassee,"1345�Thomasville�Rd, Tallahassee, FL 32303",(850) 848-4768,30.45783,-84.27677,,,dispensaries
Tampa,"6421�N�Florida�Ave, Tampa, FL 33604",(813) 497-2028,28.00554,-82.45922,,,dispensaries
The Villages,"13940 US-441 Ste 601, The Villages, FL 32159",(352) 240-3805,28.94895,-81.95415,,,dispensaries
Titusville,"200 S Washington Ave, Titusville, FL 32796",(321) 567-1212,28.61331,-80.80782,,,dispensaries
Venice,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,-82.384087,,,dispensaries
Vero Beach,"1290 Jacaranda Blvd, Venice, FL 34292",(941) 800-2003,27.09951,-82.384087,,,dispensaries
Wellington,"1045 S State Rd 7 Ste 200, Wellington, FL 33414",(833) 880-5420,26.66301,-80.20524,,,dispensaries
Wesley Chapel,"27437 Wesley Chapel Blvd, Wesley Chapel, FL 33544",(813) 734-8936,28.23868,-82.36224,,,dispensaries
West Palm Beach,"237 Okeechobee Blvd, West Palm Beach, FL 33409",(561) 675-0890,26.70547,-80.05159,,,dispensaries
Winter Haven,"285�1st�St, Winter Haven, FL 33880",(863) 656-5777,28.01881,-81.72691,,,dispensaries
Masa Firearms,"11070 WIles Rd, Suite A, Coral Springs, Florida 33321",954-675-4308,26.28686,-80.27428,,,gunstore
Florida Gun Center ,"4841 Volunteer Rd, Davie, Florida 33330",954-533-3740,26.05995,-80.34611,,,gunstore
Gun World of South Florida ,"1700 South Powerline Road, Deerfield Beach, Florida 33442",954-596-0526,26.2928,-80.15167,,,gunstore
Zulu Armoury ,"1365 NW 98th Ct, Suite 7, Doral, Florida 33172",786-580-5136,25.78652,-80.35484,,,gunstore
T-n-T FIrearms & Accessories ,"474372 E State Rd 200, Suite A, Ferdandina, Florida 32034",904-442-8746,30.61791,-81.51692,,,gunstore
AK-103,"3112-1 Palm Ave, Fort Myers, Florida 33901",239-334-4231,26.61977,-81.85649,,,gunstore
Limited Arms ,"6187 NW 167th St, Suite H1, Hialeah, Florida 33015",305-523-9709,25.88055,-80.29162,,,gunstore
Florida Gun Supply ,"118 N Pine Ave, Inverness, Florida 34450",352-270-3087,28.83744,-82.33144,,,gunstore
Red Ryder Armory ,"6690 Columbia Park Dr, Suite 1, Jacksonville, Florida 32258",904-535-5980,30.15773,-81.53806,,,gunstore
Jacksonville Beach,"922 9th St S, Jacksonville Beach, Florida 32250",904-424-0420,30.27805,-81.39687,,,gunstore
Jupiter,"9270 W Indiantown Rd, Suite C4, Jupiter, Florida 33478",561-320-9184,26.93403,-80.09361,,,gunstore
The Armories,"564 E Osceola Pkwy, Kissimmee, Florida 34744",407-201-6133,28.33721,-81.39828,,,gunstore
Central Florida Gun and Tactical LLC,"320 Executive Blvd, Leesburg, Florida 34748",352-434-4382,28.80969,-81.93021,,,gunstore
Advanced Firearms ,"2175 SR 7, Margate, Florida 33062",954-968-GUNS,26.25532,-80.20172,,,gunstore
Florida Armory Gun Shop & Police Supply,"8870 SW 40th St, Miami, Florida 33165",305-207-1300,25.73272,-80.33948,,,gunstore
Miami Lakes,"14411 Commerce Way, Suite 420, Miami Lakes, Florida 33016",305-986-0641,25.90426,-80.32838,,,gunstore
North Miami Beach,"321 NE 167th St, North Miami Beach, Florida 33162",305-705-2340,25.92846,-80.19387,,,gunstore
Action Gun & Military Surplus ,"216 Industrial loop S, Suite 101, Orange City, Florida 32273",904-458-4605,28.58777,-81.42717,,,gunstore
Orlando,"5512 S Orange Blossom Trail, Orlando, Florida 32839",407-859-5064,28.44231,-81.403,,,gunstore
Ormond Beach,"1050 S Nova Rd, Ormond Beach, Florida 32174",,29.26617,-81.0784,,,gunstore
Port St Lucie,"6672 South US 1 Highway, Port St Lucie, Florida 34952",772-242-8293,27.34283,-80.32474,,,gunstore
Pro Sporting Goods,"141 NW 136th Ave, Sunrise, Florida 33325",954-846-2336,26.12203,-80.33024,,,gunstore
Big Cypress National Preserve,"52105 Tamiami Trail East, Ochopee, Florida 34141",,25.85742,-81.03356,,,nationalpark
Biscayne NATIONAL PARK,"9700 SW 328th Street, Sir Lancelot Jones Way,  Homestead,�FL�33033",,25.46412,-80.33607,,,nationalpark
Canaveral National Seashore,"7611 S. Atlantic Ave., New Smyrna Beach,�FL�32169",,28.92801,-80.82322,,,nationalpark
Castillo de San Marcos NATIONAL MONUMENT,"11 South Castillo Drive, Saint Augustine,�FL�32084",,29.89725,-81.31124,,,nationalpark
De Soto NATIONAL MEMORIAL,"8300 Desoto Memorial Hwy, Bradenton, FL 34209",,27.52135,-82.64502,,,nationalpark
Dry Tortugas NATIONAL PARK,"281 Trumbo Rd, Key West, FL 33040",,24.56232,-81.79801,,,nationalpark
Everglades NATIONAL PARK,"40001 State Road 9336, Homestead, Florida 33034",,25.39531,-80.5831,,,nationalpark
Fort Caroline NATIONAL MEMORIAL,"12713 Fort Caroline Road, Jacksonville,�FL�32225",,30.38387,-81.49952,,,nationalpark
Fort Matanzas NATIONAL MONUMENT,"8635 A1A South, Saint Augustine,�FL�32080",,29.86186,-81.28027,,,nationalpark
Gulf Islands NATIONAL SEASHORE,"1 Gulf National Sea Shore Dr, Okaloosa Island, FL 32548",,30.39683,-86.58052,,,nationalpark
Timucuan ECOLOGICAL & HISTORIC PRESERVE,"12713 Fort Caroline Road, Jacksonville,�FL�32225",,30.38387,-81.49952,,,nationalpark
BASS PRO SHOPS�BRANDON,"10501 Palm River Rd, Tampa,�FL�33619",(813) 655-2400,27.90834,-82.40183,,,outdoorstore
BASS PRO SHOPS�ORLANDO,"5156 International Dr, Orlando,�FL�32819",(407) 563-5200,28.47003,-81.44863,,,outdoorstore
BASS PRO SHOPS�PALM BAY,"750 Bass Pro Dr NE, Palm Bay,�FL�32905",(321) 674-3700,28.03415,-80.65237,,,outdoorstore
BASS PRO SHOPS�PORT ST. LUCIE,"2250 Gatlin Blvd, Port St. Lucie,�FL�34953",(772) 785-7600,27.26218,-80.41929,,,outdoorstore
BASS PRO SHOPS�FT. MYERS,"10040 Gulf Center Dr, Ft. Myers,�FL�33913",(239) 461-7800,26.48794,-81.79118,,,outdoorstore
REI Gainesville,"3650 SW 32nd Ct, Suite 10, Gainesville, FL 32608",(352) 204-9265,29.65247,-82.45047,,,outdoorstore
REI Jacksonville,"4862 Big Island Drive, Jacksonville, FL 32246",(904) 996-1613,30.25387,-81.529732,,,outdoorstore
REI Winter Park,"430 Orlando Ave, Winter Park, FL 32789",(407) 647-0731,28.60112,-81.3647,,,outdoorstore
ACADEMY SPORTS + OUTDOORS Kissimmee,"621 Centerview Boulevard, Kissimmee,�FL�34741",(321) 697-5100,28.33983,-81.41231,,,outdoorstore
ACADEMY SPORTS + OUTDOORSSoutheast Orlando,"6640 Eagle Watch Drive, Orlando,�FL�32822",(407) 204-3900,28.46709,-81.3046,,,outdoorstore
ACADEMY SPORTS + OUTDOORSSouthwest Orlando,"3557 Gardens Ridge Way, Orlando,�FL�32839",(407) 481-5001,28.49563,-81.42314,,,outdoorstore
ACADEMY SPORTS + OUTDOORS West Melbourne,"4285 Norfolk Pkwy, West Melbourne,�FL�32904",(321) 733-5000,28.03998,-80.66114,,,outdoorstore
ACADEMY SPORTS + OUTDOORS Northeast Orlando,"11955 E Colonial Dr, Orlando,�FL�32826",(407) 243-2000,28.56447,-81.14262,,,outdoorstore
ACADEMY SPORTS + OUTDOORS Lake Mary,"3641 Lake Emma Road, Lake Mary,�FL�32746",(407) 833-4000,28.75298,-81.35867,,,outdoorstore
Dick's Sporting Goods,"1100 Alafaya Trail, Orlando, FL 32828",407-380-90666,28.48142,-81.16831,,,outdoorstore
Dick's Sporting Goods,"724 Herndon Avenue, Orlando, FL 32803",321-332-9991,28.55468,-81.33824,,,outdoorstore
Dick's Sporting Goods,"350 Towne Center Circle, Sanford, FL 32771",407-324-5800,28.80362,-81.33762,,,outdoorstore
Dick's Sporting Goods,"4615 Millenia Plaza Way, Orlando, FL 32839",407-355-0733,28.49702,-81.42892,,,outdoorstore
Dick's Sporting Goods,"8001 S Orange Blossom Trail, Orlando, FL 32809",321-445-4286,28.44696,-81.39624,,,outdoorstore
Dick's Sporting Goods,"1325 Sandy Grove Avenue, Clermont, FL 34711",352-404-5354,28.54525,-81.73315,,,outdoorstore
Dick's Sporting Goods,"2500 W. International Speedway Blvd, Daytona Beach, FL 32114",386-255-5533,29.17976,-81.08379,,,outdoorstore
Dick's Sporting Goods,"1300 Posner Blvd, Davenport, FL 33837",863-424-4444,28.22666,-81.64508,,,outdoorstore
Dick's Sporting Goods,"1700 W. New Haven Avenue, Melbourne, FL 32904",321-984-4012,28.08158,-80.64975,,,outdoorstore
Dick's Sporting Goods,"919 Lakeland Park Center Dr., Lakeland, FL 33809",863-248-1200,28.08841,-81.96903,,,outdoorstore
Tomoka State Park,"2099 N Beach St Ormond Beach, Fl 32174",,29.328184,-81.07734,,,statepark
Lake Kissimmee State Park,"14248 Camp Mack Rd Lake Wales, Fl 33898",,27.972112,-81.379784,,,statepark
Lake Manatee State Park,"20007 Sr 64 Bradenton, Fl 34202",,27.475207,-82.344167,,,statepark
Ochlockonee River State Park,"429 State Park Rd Sopchoppy, Fl 32358 Po Box 5",,29.999161,-84.484893,,,statepark
Olustee Battlefield Historic State Park,"5815 Battlefield Trail Rd. Olustee, Fl 32087",,30.658345,-85.342586,,,statepark
St. Lucie Inlet Preserve State Park,"St Lucie Inlet Preserve State Park Martin County, Fl",,29.795592,-81.858974,,,statepark
The Barnacle Historic State Park,"3485 Main Hwy Coconut Grove, Fl 33133",,25.731554,-80.243005,,,statepark
Lake Jackson Mounds Archaeological State Park,"3600 Indian Mounds Rd. Tallahassee, Fl 32303",,30.501457,-84.313858,,,statepark
Koreshan State Park,"3800 Corkscrew Road Estero, Fl 33928",,26.431186,-81.814201,,,statepark
Hillsborough River State Park,"15402 Us 301 N Thonotosassa, Fl 33592",,28.141049,-82.226658,,,statepark
John Gorrie Museum State Park,"46 5Th Street Apalachicola, Fl 32320",,29.724972,-84.9841,,,statepark
Blue Spring State Park,"2100 W French Ave Orange City, Fl 32763",,28.952332,-81.334823,,,statepark
Stephen Foster Folk Culture Center State Park,"11016 Lillian Saunders Drive White Springs, Fl 32096 Po Box G",,30.331735,-82.76548,,,statepark
Rock Springs Run State Reserve,"Rock Springs Run State Reserve County Rd. 433 Sorento, Fl",,30.353662,-82.780363,,,statepark
Fakahatchee Strand Preserve State Park,"137 Coastline Dr Copeland, Fl 34137 Po Box 548",,25.951129,-81.360049,,,statepark
Palatka-to-Lake Butler State Trail,"6065 Twin Lakes Rd. Keystone Heights, Fl 32656",,29.773438,-81.998565,,,statepark
Windley Key Fossil Reef Geological State Park,"84900 Overseas Highway Islamorada, Fl 33036 Po Box 1052",,24.948981,-80.59653,,,statepark
Bulow Creek State Park,"3335 Old Dixie Hwy Ormond Beach, Fl 32174",,29.387807,-81.132354,,,statepark
Fanning Springs State Park,"11650 Nw 115Th Street Chiefland, Fl 32034",,29.496195,-82.964207,,,statepark
Werner-Boyce Salt Springs State Park,"9120 Old Post Road Port Richey, Fl 34668",,28.290002,-82.724458,,,statepark
Troy Spring State Park,"674 Troy Spring Rd. Branford, Fl 32008",,30.004856,-82.998853,,,statepark
Three Servicemen Memorial (Managed by Orman House),"177 5Th St  Apalachicola, Fl 32320",,29.72972,-84.9902,,,statepark
Orman House Historic State Park,"177 5Th St  Apalachicola, Fl 32320",,29.729719,-84.990196,,,statepark
Withlacoochee State Trail,"2246 W Magenta Dr. Citurs Springs, Fl 34434",,29.02694,-82.47062,,,statepark
Dunns Creek State Park,"Dunns Creek State Park Florida 15 Pomona Park, Fl",,29.49737,-81.59129,,,statepark
Long Key State Park,"67400 Overseas Hwy  Long Key, Fl 33001 Po Box 776",,24.82345,-80.81694,,,statepark
T.H. Stone Memorial St. Joseph Peninsula State Park,"8899 Cape San Blas Rd Port St Joe, Fl 32456",,29.7559,-85.39543,,,statepark
Colt Creek State Park,"16000 State Road 471 Lakeland, Fl 33809",,28.28164,-82.05547,,,statepark
Eden Gardens State Park,"181 Eden Gardens Rd. Santa Rosa Beach, Fl 32450",,30.37147,-86.11818,,,statepark
Oscar Scherer State Park,"1843 S Tamiami Tr Osprey, Fl 34229",,27.18228,-82.4836,,,statepark
Deer Lake State Park,"6350 East County Rd. 30-A Santa Rosa Beach, Fl 32459",,30.30576,-86.07408,,,statepark
Torreya State Park,"2576 Nw Torreya Pk Road Bristol, Fl 32321",,30.57162,-84.94584,,,statepark
Collier-Seminole State Park,"20200 E Tamiami Trail Naples, Fl 34114",,25.99274,-81.59049,,,statepark
North Peninsula State Park,"40 Highbridge Rd. Ormond By The Sea, Fl 32176",,29.33212,-81.06284,,,statepark
Ichetucknee Springs State Park,"12087 Sw Us Hwy 27 Ft White, Fl 32038",,29.95149,-82.77828,,,statepark
San Pedro Underwater Archaeological Preserve State Park,"77200 Overseas Hwy Islamorada, Fl 33001",,24.88028,-80.69456,,,statepark
General James A. Van Fleet State Trail,"7683 Berkley Road Polk City, Fl 33968",,28.18002,-81.82727,,,statepark
Cedar Key Museum State Park,"12231 Sw 166 Ct Cedar Key, Fl 32625",,29.15056,-83.04802,,,statepark
De Leon Springs State Park,"601 Ponce De Leon Blvd De Leon Springs, Fl 32130",,29.13076,-81.3595,,,statepark
Haw Creek Preserve State Park,"Haw Creek Preserve State Park Seville, Fl",,29.26519,-81.33464,,,statepark
Terra Ceia Preserve State Park,"130 Terra Ceia Rd. Terra Ceia, Fl 34606",,27.57947,-82.57211,,,statepark
Mike Roess Gold Head Branch State Park,"6239 Sr 21 Keystone Heights, Fl 32656",,29.85033,-81.95911,,,statepark
Curry Hammock State Park,"56200 Overseas Hwy Marathon, Fl 33050",,24.74197,-80.9817,,,statepark
Seabranch Preserve State Park,"6093 Se Dixie Highway Stuart, Fl 34997",,27.13049,-80.16972,,,statepark
Fort Mose Historic State Park,"15 Fort Mose Trail St. Augustine, Fl 32084",,29.92961,-81.32509,,,statepark
Dr. Von D. Mizell-Eula Johnson State Park,"6503 N Ocean Dr Dania Bch, Fl 33004",,26.05515,-80.11404,,,statepark
Camp Helen State Park,"23937 Panama City Beach Parkway Panama City Beach, Fl 32413",,30.27327,-85.99227,,,statepark
St. Sebastian River Preserve State Park,"1000 Buffer Preserve Drive Fellsmere, Fl 32948",,27.83092,-80.60128,,,statepark
Nature Coast State Trail,"18020 Nw Hwy 19 Fanning Springs, Florida 32693",,29.5911,-82.93552,,,statepark
Cockroach Bay Preserve State Park,"End Of Cockroach Bay Rd. Ruskin, Fl 33570",,27.6874,-82.49516,,,statepark
Ybor City Museum State Park,"1818 E. 9Th Avenue Tampa, Fl 33605",,27.96191,-82.43832,,,statepark
Lower Wekiva River Preserve State Park,"8300 W. State Rd. 46 Sanford, Fl 32712",,28.81499,-81.40517,,,statepark
Lake Griffin State Park,"3089 Us Highway 441/27 Fruitland Park, Fl 34731",,28.85706,-81.90048,,,statepark
Manatee Springs State Park,"11650 Nw 115 St Chiefland, Fl 32626",,29.48783,-82.97703,,,statepark
Mound Key Archaeological State Park,"Mound Key Archaeological State Park Estero, Fl 33928",,26.43139,-81.79006,,,statepark
Myakka River State Park,"13208 State Rd 72 Sarasota, Fl 34241",,27.2408,-82.31592,,,statepark
Henderson Beach State Park,"17000 Emerald Coast Pkwy Destin, Fl 32541",,30.38489,-86.44238,,,statepark
Dudley Farm Historic State Park,"18730 W. Newberry Rd. Newberry, Fl 32669",,29.65784,-82.5395,,,statepark
Lignumvitae Key Botanical State Park,"77200 Overseas Hwy Islamorada, Fl 33001",,24.88028,-80.69456,,,statepark
Gasparilla Island State Park,"880 Belcher Rd Boca Grande, Fl 33921 Po Box 1150",,26.71954,-82.26011,,,statepark
Don Pedro Island State Park,"8450 Placida Rd. Cape Haze, Fl 33946",,26.85588,-82.30268,,,statepark
Edward Ball Wakulla Springs State Park,"465 Wakulla Park Dr Wakulla Springs, Fl 32327",,30.22869,-84.30266,,,statepark
Wes Skiles Peacock Springs State Park,"18181 185Th Rd. Live Oak, Fl 32060",,30.11113,-83.12551,,,statepark
Ellie Schiller Homosassa Springs Wildlife State Park,"4150 S Suncoast Blvd Homosassa, Fl 34446",,28.80074,-82.57812,,,statepark
Fort George Island Cultural State Park,"11241 Fort George Rd. Jacksonville, Fl 32226",,30.43527,-81.43038,,,statepark
Lake June-in-Winter Scrub Preserve State Park,"Daffodil Rd. Lake Placid, Fl 33852",,27.30466,-81.34358,,,statepark
Okeechobee Battlefield Historic State Park,"3500 Se 38Th Ave. Okeechobee, Fl 34974",,27.21217,-80.78906,,,statepark
Kissimmee Prairie Preserve State Park,"33104 Nw 192Nd Ave Okeechobee, Fl 34972",,27.54359,-81.0227,,,statepark
Letchworth-Love Mounds Archaeological State Park,"4500 Sunray Rd. South Tallahassee, Fl 32309",,30.52185,-83.99065,,,statepark
Hugh Taylor Birch State Park,"3109 E Sunrise Blvd Ft Lauderdale, Fl 33304",,26.14086,-80.10318,,,statepark
Lafayette Blue Springs State Park,"799 Nw Blue Spring Rd May, Fl 32066",,30.10794,-83.23645,,,statepark
Tarkiln Bayou Preserve State Park,"2401 Bauer Rd. Pensacola, Fl 32507",,30.37312,-87.4023,,,statepark
Ravine Gardens State Park,"1600 Twigg St. Palatka, Fl 32177",,30.37312,-87.4023,,,statepark
Yellow River Marsh Preserve State Park,"7720 Deaton Bridge Rd Holt, Fl 32564",,30.7097,-86.87586,,,statepark
Blackwater River State Park,"7720 Deaton Bridge Rd Holt, Fl 32564",,30.7097,-86.87586,,,statepark
Bulow Plantation Ruins Historic State Park,"3501 Old Kings Rd. Flagler Beach, Fl 32136",,29.43021,-81.15348,,,statepark
Indian Key Historic State Park,"Indian Key, Fl",,27.86316,-82.84096,,,statepark
Constitution Convention Museum State Park,"200 Allen Memorial Way Port St Joe, Fl 32456",,29.7935,-85.29679,,,statepark
Oleta River State Park,"3400 Ne 163Rd St N Miami, Fl 33160",,25.92852,-80.1349,,,statepark
Pumpkin Hill Creek Preserve State Park,"13802 Pumpkin Hill Road Jacksonville, Fl 32226",,30.48065,-81.48787,,,statepark
Crystal River Archaeological State Park,"3400 N Museum Pt Crystal River, Fl 34428",,28.90936,-82.62795,,,statepark
Dade Battlefield Historic State Park,"7200 Cr 603 - S Battlefield Drive Bushnell, Fl 33513",,28.65306,-82.12727,,,statepark
